Year;ODS;Indicador;Descripción;CA;Value
2016;Educación de calidad;4.5.1.1;Índices de paridad (entre mujeres y hombres) de la población, entre 18 y 64 años de edad, que han realizado actividades educativas en los últimos 12 meses ;NAVARRA, COMUNIDAD FORAL DE;94,43701249
2016;Educación de calidad;4.5.1.2;Índices de paridad (personas con limitaciones graves por problemas de salud y personas nada limitadas) de la población, entre 18 y 64 años de edad, que han realizado actividades educativas en los últimos 12 meses;NAVARRA, COMUNIDAD FORAL DE;62,68498116
2016;Educación de calidad;4.5.1.2_4.5.1.6;Índices de paridad (personas con limitaciones por problemas de salud y personas nada limitadas) de la población, entre 18 y 64 años de edad, que han realizado actividades educativas en los últimos 12 meses ;NAVARRA, COMUNIDAD FORAL DE;79,43578287
2010;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;78,52844017
2011;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;77,80022828
2012;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;84,28286056
2013;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;81,12220958
2014;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;83,60384798
2015;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;79,71253808
2016;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;77,60952368
2017;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;89,07870474
2018;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;88,37625224
2019;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;90,70519578
2016;Educación de calidad;4.5.1.4;Índices de paridad (entre cuartil de riqueza superior e inferior) de la población, entre 18 y 64 años de edad, que han realizado actividades educativas en los últimos 12 meses;NAVARRA, COMUNIDAD FORAL DE;66,62805673
2010;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;120,7528825
2011;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;117,7317373
2012;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;112,9157569
2013;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;116,3132964
2014;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;111,1783116
2015;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;114,2493192
2016;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;118,9481431
2017;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;114,1080433
2018;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;119,0420042
2019;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;NAVARRA, COMUNIDAD FORAL DE;117,7394346
2016;Educación de calidad;4.5.1.6;Índices de paridad (personas con limitaciones por problemas de salud pero no graves y personas nada limitadas) de la población, entre 18 y 64 años de edad, que han realizado actividades educativas en los últimos 12 meses ;NAVARRA, COMUNIDAD FORAL DE;83,69445143
2010;Igualdad de género;5.4.1.1;Tiempo dedicado al hogar y familia en un día promedio;NAVARRA, COMUNIDAD FORAL DE;174,3614104
2010;Igualdad de género;5.4.1.2;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;NAVARRA, COMUNIDAD FORAL DE;229,1666916
2010;Igualdad de género;5.4.1.3;Tiempo dedicado al hogar y familia en un día promedio. Hombres;NAVARRA, COMUNIDAD FORAL DE;118,8184369
2011;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;NAVARRA, COMUNIDAD FORAL DE;30,47331386
2012;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;NAVARRA, COMUNIDAD FORAL DE;29,41599204
2013;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;NAVARRA, COMUNIDAD FORAL DE;26,04772185
2014;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;NAVARRA, COMUNIDAD FORAL DE;39,1290687
2015;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;NAVARRA, COMUNIDAD FORAL DE;30,87416584
2016;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;NAVARRA, COMUNIDAD FORAL DE;31,20717573
2017;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;NAVARRA, COMUNIDAD FORAL DE;26,99574338
2018;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;NAVARRA, COMUNIDAD FORAL DE;24,47725074
2019;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;NAVARRA, COMUNIDAD FORAL DE;26,91739864
2011;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;NAVARRA, COMUNIDAD FORAL DE;28,08254691
2012;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;NAVARRA, COMUNIDAD FORAL DE;28,97674728
2013;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;NAVARRA, COMUNIDAD FORAL DE;27,69113717
2014;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;NAVARRA, COMUNIDAD FORAL DE;39,43197234
2015;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;NAVARRA, COMUNIDAD FORAL DE;34,02091994
2016;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;NAVARRA, COMUNIDAD FORAL DE;39,36278049
2017;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;NAVARRA, COMUNIDAD FORAL DE;32,53674171
2018;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;NAVARRA, COMUNIDAD FORAL DE;27,36549259
2019;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;NAVARRA, COMUNIDAD FORAL DE;31,17768224
2010;Igualdad de género;5.a.1a.1;Porcentaje de titulares de explotaciones agrícolas, respecto al total de trabajadores en la agricultura;NAVARRA, COMUNIDAD FORAL DE;42,18
2014;Igualdad de género;5.a.1a.1;Porcentaje de titulares de explotaciones agrícolas, respecto al total de trabajadores en la agricultura;NAVARRA, COMUNIDAD FORAL DE;48,63
2017;Igualdad de género;5.a.1a.1;Porcentaje de titulares de explotaciones agrícolas, respecto al total de trabajadores en la agricultura;NAVARRA, COMUNIDAD FORAL DE;49,78
2010;Igualdad de género;5.a.1a.2;Porcentaje de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura;NAVARRA, COMUNIDAD FORAL DE;46,3
2014;Igualdad de género;5.a.1a.2;Porcentaje de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura;NAVARRA, COMUNIDAD FORAL DE;47,25
2017;Igualdad de género;5.a.1a.2;Porcentaje de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura;NAVARRA, COMUNIDAD FORAL DE;47,75
2010;Igualdad de género;5.a.1a.3;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura;NAVARRA, COMUNIDAD FORAL DE;32,72
2014;Igualdad de género;5.a.1a.3;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura;NAVARRA, COMUNIDAD FORAL DE;53,16
2017;Igualdad de género;5.a.1a.3;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura;NAVARRA, COMUNIDAD FORAL DE;57,12
2010;Igualdad de género;5.a.1b.1;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de titulares de explotaciones agrícolas;NAVARRA, COMUNIDAD FORAL DE;23,57
2014;Igualdad de género;5.a.1b.1;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de titulares de explotaciones agrícolas;NAVARRA, COMUNIDAD FORAL DE;25,54
2017;Igualdad de género;5.a.1b.1;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de titulares de explotaciones agrícolas;NAVARRA, COMUNIDAD FORAL DE;24,86
2010;Igualdad de género;5.a.1b.2;Porcentaje de mujeres titulares de explotaciones agrícolas en propiedad, respecto al total de titulares de explotaciones agrícolas en propiedad;NAVARRA, COMUNIDAD FORAL DE;25,78
2014;Igualdad de género;5.a.1b.2;Porcentaje de mujeres titulares de explotaciones agrícolas en propiedad, respecto al total de titulares de explotaciones agrícolas en propiedad;NAVARRA, COMUNIDAD FORAL DE;27,19
2017;Igualdad de género;5.a.1b.2;Porcentaje de mujeres titulares de explotaciones agrícolas en propiedad, respecto al total de titulares de explotaciones agrícolas en propiedad;NAVARRA, COMUNIDAD FORAL DE;26,75
2010;Igualdad de género;5.a.1b.3;Porcentaje de mujeres titulares de explotaciones agrícolas en arrendamiento, respecto al total de titulares de explotaciones agrícolas en arrendamiento;NAVARRA, COMUNIDAD FORAL DE;18,52
2014;Igualdad de género;5.a.1b.3;Porcentaje de mujeres titulares de explotaciones agrícolas en arrendamiento, respecto al total de titulares de explotaciones agrícolas en arrendamiento;NAVARRA, COMUNIDAD FORAL DE;21,77
2017;Igualdad de género;5.a.1b.3;Porcentaje de mujeres titulares de explotaciones agrícolas en arrendamiento, respecto al total de titulares de explotaciones agrícolas en arrendamiento;NAVARRA, COMUNIDAD FORAL DE;19,76
2010;Igualdad de género;5.b.1.1;;NAVARRA, COMUNIDAD FORAL DE;92,71
2011;Igualdad de género;5.b.1.1;;NAVARRA, COMUNIDAD FORAL DE;92,99
2012;Igualdad de género;5.b.1.1;;NAVARRA, COMUNIDAD FORAL DE;93,23
2013;Igualdad de género;5.b.1.1;;NAVARRA, COMUNIDAD FORAL DE;93,41
2014;Igualdad de género;5.b.1.1;;NAVARRA, COMUNIDAD FORAL DE;94,04
2015;Igualdad de género;5.b.1.1;;NAVARRA, COMUNIDAD FORAL DE;94,12
2017;Igualdad de género;5.b.1.1;;NAVARRA, COMUNIDAD FORAL DE;97,81
2019;Igualdad de género;5.b.1.1;;NAVARRA, COMUNIDAD FORAL DE;99,08
2010;Igualdad de género;5.b.1.2;;NAVARRA, COMUNIDAD FORAL DE;93,1
2011;Igualdad de género;5.b.1.2;;NAVARRA, COMUNIDAD FORAL DE;92,36
2012;Igualdad de género;5.b.1.2;;NAVARRA, COMUNIDAD FORAL DE;92,78
2013;Igualdad de género;5.b.1.2;;NAVARRA, COMUNIDAD FORAL DE;92,07
2014;Igualdad de género;5.b.1.2;;NAVARRA, COMUNIDAD FORAL DE;94,03
2015;Igualdad de género;5.b.1.2;;NAVARRA, COMUNIDAD FORAL DE;93,45
2017;Igualdad de género;5.b.1.2;;NAVARRA, COMUNIDAD FORAL DE;98
2019;Igualdad de género;5.b.1.2;;NAVARRA, COMUNIDAD FORAL DE;99,29
2010;Igualdad de género;5.b.1.3;;NAVARRA, COMUNIDAD FORAL DE;92,34
2011;Igualdad de género;5.b.1.3;;NAVARRA, COMUNIDAD FORAL DE;93,59
2012;Igualdad de género;5.b.1.3;;NAVARRA, COMUNIDAD FORAL DE;93,67
2013;Igualdad de género;5.b.1.3;;NAVARRA, COMUNIDAD FORAL DE;94,72
2014;Igualdad de género;5.b.1.3;;NAVARRA, COMUNIDAD FORAL DE;94,05
2015;Igualdad de género;5.b.1.3;;NAVARRA, COMUNIDAD FORAL DE;94,79
2017;Igualdad de género;5.b.1.3;;NAVARRA, COMUNIDAD FORAL DE;97,62
2019;Igualdad de género;5.b.1.3;;NAVARRA, COMUNIDAD FORAL DE;98,88
2010;Trabajo decente y crecimiento económico;8.5.1.2;Ingreso medio por hora de mujeres;NAVARRA, COMUNIDAD FORAL DE;13,6
2011;Trabajo decente y crecimiento económico;8.5.1.2;Ingreso medio por hora de mujeres;NAVARRA, COMUNIDAD FORAL DE;13,64
2012;Trabajo decente y crecimiento económico;8.5.1.2;Ingreso medio por hora de mujeres;NAVARRA, COMUNIDAD FORAL DE;13,56
2013;Trabajo decente y crecimiento económico;8.5.1.2;Ingreso medio por hora de mujeres;NAVARRA, COMUNIDAD FORAL DE;13,73
2014;Trabajo decente y crecimiento económico;8.5.1.2;Ingreso medio por hora de mujeres;NAVARRA, COMUNIDAD FORAL DE;14,2
2015;Trabajo decente y crecimiento económico;8.5.1.2;Ingreso medio por hora de mujeres;NAVARRA, COMUNIDAD FORAL DE;14,8
2016;Trabajo decente y crecimiento económico;8.5.1.2;Ingreso medio por hora de mujeres;NAVARRA, COMUNIDAD FORAL DE;14,91
2017;Trabajo decente y crecimiento económico;8.5.1.2;Ingreso medio por hora de mujeres;NAVARRA, COMUNIDAD FORAL DE;15,4
2010;Trabajo decente y crecimiento económico;8.5.1.3;Ingreso medio por hora de hombres;NAVARRA, COMUNIDAD FORAL DE;17,06
2011;Trabajo decente y crecimiento económico;8.5.1.3;Ingreso medio por hora de hombres;NAVARRA, COMUNIDAD FORAL DE;17,39
2012;Trabajo decente y crecimiento económico;8.5.1.3;Ingreso medio por hora de hombres;NAVARRA, COMUNIDAD FORAL DE;17,53
2013;Trabajo decente y crecimiento económico;8.5.1.3;Ingreso medio por hora de hombres;NAVARRA, COMUNIDAD FORAL DE;17,58
2014;Trabajo decente y crecimiento económico;8.5.1.3;Ingreso medio por hora de hombres;NAVARRA, COMUNIDAD FORAL DE;17,68
2015;Trabajo decente y crecimiento económico;8.5.1.3;Ingreso medio por hora de hombres;NAVARRA, COMUNIDAD FORAL DE;18,05
2016;Trabajo decente y crecimiento económico;8.5.1.3;Ingreso medio por hora de hombres;NAVARRA, COMUNIDAD FORAL DE;18,35
2017;Trabajo decente y crecimiento económico;8.5.1.3;Ingreso medio por hora de hombres;NAVARRA, COMUNIDAD FORAL DE;18,61
2010;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;NAVARRA, COMUNIDAD FORAL DE;11,50371412
2011;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;NAVARRA, COMUNIDAD FORAL DE;12,57174226
2012;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;NAVARRA, COMUNIDAD FORAL DE;16,68347958
2013;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;NAVARRA, COMUNIDAD FORAL DE;17,16923746
2014;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;NAVARRA, COMUNIDAD FORAL DE;15,48291923
2015;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;NAVARRA, COMUNIDAD FORAL DE;12,68230405
2016;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;NAVARRA, COMUNIDAD FORAL DE;10,9210413
2017;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;NAVARRA, COMUNIDAD FORAL DE;7,735606719
2018;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;NAVARRA, COMUNIDAD FORAL DE;9,075983777
2019;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;NAVARRA, COMUNIDAD FORAL DE;7,387356079
2010;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;NAVARRA, COMUNIDAD FORAL DE;12,39685738
2011;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;NAVARRA, COMUNIDAD FORAL DE;13,49016296
2012;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;NAVARRA, COMUNIDAD FORAL DE;15,53149751
2013;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;NAVARRA, COMUNIDAD FORAL DE;18,86432906
2014;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;NAVARRA, COMUNIDAD FORAL DE;15,98916164
2015;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;NAVARRA, COMUNIDAD FORAL DE;15,16137394
2016;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;NAVARRA, COMUNIDAD FORAL DE;14,26145539
2017;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;NAVARRA, COMUNIDAD FORAL DE;13,15095788
2018;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;NAVARRA, COMUNIDAD FORAL DE;11,08836858
2019;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;NAVARRA, COMUNIDAD FORAL DE;9,214656195
2010;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;NAVARRA, COMUNIDAD FORAL DE;10,53320703
2011;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;NAVARRA, COMUNIDAD FORAL DE;7,441452147
2012;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;NAVARRA, COMUNIDAD FORAL DE;9,563673208
2013;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;NAVARRA, COMUNIDAD FORAL DE;12,40177754
2014;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;NAVARRA, COMUNIDAD FORAL DE;12,62241334
2015;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;NAVARRA, COMUNIDAD FORAL DE;10,41028695
2016;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;NAVARRA, COMUNIDAD FORAL DE;11,25374635
2017;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;NAVARRA, COMUNIDAD FORAL DE;10,7352788
2018;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;NAVARRA, COMUNIDAD FORAL DE;8,656327561
2019;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;NAVARRA, COMUNIDAD FORAL DE;8,481269084
2017;Trabajo decente y crecimiento económico;8.9.1.1;Tasa de crecimiento del PIB generado por el turismo;NAVARRA, COMUNIDAD FORAL DE;7,160213178
2018;Trabajo decente y crecimiento económico;8.9.1.1;Tasa de crecimiento del PIB generado por el turismo;NAVARRA, COMUNIDAD FORAL DE;5,152964894
2016;Trabajo decente y crecimiento económico;8.9.1.2;PIB generado por el turismo en proporción al PIB total;NAVARRA, COMUNIDAD FORAL DE;4,686550331
2017;Trabajo decente y crecimiento económico;8.9.1.2;PIB generado por el turismo en proporción al PIB total;NAVARRA, COMUNIDAD FORAL DE;4,814774771
2018;Trabajo decente y crecimiento económico;8.9.1.2;PIB generado por el turismo en proporción al PIB total;NAVARRA, COMUNIDAD FORAL DE;4,881177619
2010;Industria, tinnovación e infraestructura;9.2.2.1;;NAVARRA, COMUNIDAD FORAL DE;24,09260649
2011;Industria, tinnovación e infraestructura;9.2.2.1;;NAVARRA, COMUNIDAD FORAL DE;24,01950611
2012;Industria, tinnovación e infraestructura;9.2.2.1;;NAVARRA, COMUNIDAD FORAL DE;24,35447254
2013;Industria, tinnovación e infraestructura;9.2.2.1;;NAVARRA, COMUNIDAD FORAL DE;24,57340603
2014;Industria, tinnovación e infraestructura;9.2.2.1;;NAVARRA, COMUNIDAD FORAL DE;24,03897573
2015;Industria, tinnovación e infraestructura;9.2.2.1;;NAVARRA, COMUNIDAD FORAL DE;22,96662479
2016;Industria, tinnovación e infraestructura;9.2.2.1;;NAVARRA, COMUNIDAD FORAL DE;23,3550024
2017;Industria, tinnovación e infraestructura;9.2.2.1;;NAVARRA, COMUNIDAD FORAL DE;25,27616839
2018;Industria, tinnovación e infraestructura;9.2.2.1;;NAVARRA, COMUNIDAD FORAL DE;25,12327122
2019;Industria, tinnovación e infraestructura;9.2.2.1;;NAVARRA, COMUNIDAD FORAL DE;24,2777849
2010;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;NAVARRA, COMUNIDAD FORAL DE;0,354154849
2011;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;NAVARRA, COMUNIDAD FORAL DE;0,294656272
2012;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;NAVARRA, COMUNIDAD FORAL DE;0,280054633
2013;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;NAVARRA, COMUNIDAD FORAL DE;0,265650784
2014;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;NAVARRA, COMUNIDAD FORAL DE;0,25513837
2015;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;NAVARRA, COMUNIDAD FORAL DE;0,269321598
2016;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;NAVARRA, COMUNIDAD FORAL DE;0,273099635
2017;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;NAVARRA, COMUNIDAD FORAL DE;0,271207245
2018;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;NAVARRA, COMUNIDAD FORAL DE;0,258838527
2010;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;NAVARRA, COMUNIDAD FORAL DE;0,498201779
2011;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;NAVARRA, COMUNIDAD FORAL DE;0,473549917
2012;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;NAVARRA, COMUNIDAD FORAL DE;0,478059202
2013;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;NAVARRA, COMUNIDAD FORAL DE;0,41964301
2014;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;NAVARRA, COMUNIDAD FORAL DE;0,369639647
2015;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;NAVARRA, COMUNIDAD FORAL DE;0,398413927
2016;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;NAVARRA, COMUNIDAD FORAL DE;0,407735942
2017;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;NAVARRA, COMUNIDAD FORAL DE;0,386443008
2018;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;NAVARRA, COMUNIDAD FORAL DE;0,394728792
2010;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;NAVARRA, COMUNIDAD FORAL DE;2,03
2011;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;NAVARRA, COMUNIDAD FORAL DE;2,14
2012;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;NAVARRA, COMUNIDAD FORAL DE;2,01
2013;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;NAVARRA, COMUNIDAD FORAL DE;1,84
2014;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;NAVARRA, COMUNIDAD FORAL DE;1,79
2015;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;NAVARRA, COMUNIDAD FORAL DE;1,65
2016;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;NAVARRA, COMUNIDAD FORAL DE;1,65
2017;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;NAVARRA, COMUNIDAD FORAL DE;1,75
2018;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;NAVARRA, COMUNIDAD FORAL DE;1,7
2010;Industria, tinnovación e infraestructura;9.5.2.1;Número de investigadores (en equivalente a tiempo completo) por cada millón de habitantes;NAVARRA, COMUNIDAD FORAL DE;5204,702602
2011;Industria, tinnovación e infraestructura;9.5.2.1;Número de investigadores (en equivalente a tiempo completo) por cada millón de habitantes;NAVARRA, COMUNIDAD FORAL DE;5107,070934
